name	session	legislatorID	wnom_stderr	wnom_adj	adj_mean
Wentworth	81	5462	0.2426	0.463765	0.789873
West	76	5463	0.0767	-0.9042	-0.754488
West	77	5463	0.0788	-0.958439	-0.754488
West	78	5463	0.0882	-0.717553	-0.754488
West	79	5463	0.1349	-0.581446	-0.754488
West	80	5463	0.0854	-0.701973	-0.754488
West	81	5463	0.0642	-0.663315	-0.754488
Whitmire	76	5464	0.0791	-0.8137	-0.618143
Whitmire	77	5464	0.0777	-0.676056	-0.618143
Whitmire	78	5464	0.1361	-0.32527	-0.618143
Whitmire	79	5464	0.1188	-0.668801	-0.618143
Whitmire	80	5464	0.0761	-0.636604	-0.618143
Whitmire	81	5464	0.0721	-0.588427	-0.618143
Williams	78	9962	0.1203	0.84961	0.984131
Williams	79	9962	0.1094	0.805645	0.984131
Williams	80	9962	0.0558	1.18724	0.984131
Williams	81	9962	0.0531	1.09403	0.984131
Zaffirini	76	5465	0.0776	-0.7407	-0.693337
Zaffirini	77	5465	0.0775	-0.637797	-0.693337
Zaffirini	78	5465	0.1096	-0.529988	-0.693337
Zaffirini	79	5465	0.0959	-0.791012	-0.693337
Zaffirini	80	5465	0.0908	-0.749619	-0.693337
Zaffirini	81	5465	0.0602	-0.710907	-0.693337
AllenA	79	25503	0.0537	-1.045952758	-0.978943126
AllenA	80	25503	0.0431	-1.017912599	-0.978943126
AllenA	81	25503	0.0629	-0.872964022	-0.978943126
Alonzo	73	5468	0.0864	-0.958061314	-0.991367291
Alonzo	74	5468	0.0567	-1.119018782	-0.991367291
Alonzo	75	5468	0.0	0.0	-0.991367291
Alonzo	76	5468	0.0	0.0	-0.991367291
Alonzo	77	5468	0.0	0.0	-0.991367291
Alonzo	78	5468	0.081	-0.97889262	-0.991367291
Alonzo	79	5468	0.0651	-0.932695989	-0.991367291
Alonzo	80	5468	0.0444	-1.047409338	-0.991367291
Alonzo	81	5468	0.0593	-0.912125703	-0.991367291
AlvaradoC	81	49524	0.0644	-0.904423544	-0.904423544
Anchia	79	49874	0.0677	-0.908051659	-0.79766786
Anchia	80	49874	0.0403	-0.70669191	-0.79766786
Anchia	81	49874	0.0634	-0.778260011	-0.79766786
Anderson	79	49739	0.0533	0.653113076	0.816680611
Anderson	80	49739	0.0631	0.808356893	0.816680611
Anderson	81	49739	0.0718	0.988571864	0.816680611
Aycock	80	57995	0.0617	0.986782062	0.932785521
Aycock	81	57995	0.0981	0.878788979	0.932785521
Berman	76	25464	0.0747	0.963222042	0.865891457
Berman	77	25464	0.0851	0.716145216	0.865891457
Berman	78	25464	0.0671	0.918642652	0.865891457
Berman	79	25464	0.0498	0.828623566	0.865891457
Berman	80	25464	0.0605	0.888299074	0.865891457
Berman	81	25464	0.098	0.880416195	0.865891457
Bohac	78	10044	0.0845	0.695157877	0.59910019
Bohac	79	10044	0.0514	0.668328271	0.59910019
Bohac	80	10044	0.0635	0.761402902	0.59910019
Bohac	81	10044	0.2001	0.271511712	0.59910019
Bolton	80	58512	0.0423	-0.994074419	-0.875590306
Bolton	81	58512	0.067	-0.757106194	-0.875590306
Bonnen	75	10099	0.0632	0.573385763	0.635328793
Bonnen	76	10099	0.0737	0.374457371	0.635328793
Bonnen	77	10099	0.0843	0.86157751	0.635328793
Bonnen	78	10099	0.1204	0.446547594	0.635328793
Bonnen	79	10099	0.0516	0.661577867	0.635328793
Bonnen	80	10099	0.0662	0.607899467	0.635328793
Bonnen	81	10099	0.0869	0.92185598	0.635328793
Branch	78	50046	0.1064	0.577261266	0.558585257
Branch	79	50046	0.0512	0.674007182	0.558585257
Branch	80	50046	0.0705	0.450663792	0.558585257
Branch	81	50046	0.1727	0.532408787	0.558585257
BrownB	76	25426	0.0768	0.708260586	0.777224174
BrownB	77	25426	0.0863	0.74118974	0.777224174
BrownB	78	25426	0.0761	0.761074187	0.777224174
BrownB	79	25426	0.051	0.712366617	0.777224174
BrownB	80	25426	0.063	0.832917443	0.777224174
BrownB	81	25426	0.091	0.907536474	0.777224174
BrownF	76	14236	0.0738	0.490496825	0.586937646
BrownF	77	14236	0.0801	0.460961821	0.586937646
BrownF	78	14236	0.1188	0.446547594	0.586937646
BrownF	79	14236	0.0497	0.500853976	0.586937646
BrownF	80	14236	0.0637	0.644499501	0.586937646
BrownF	81	14236	0.072	0.978266159	0.586937646
Burnam	75	10063	0.1118	-0.933161944	-0.964600369
Burnam	76	10063	0.0851	-0.823351763	-0.964600369
Burnam	77	10063	0.1161	-0.648056121	-0.964600369
Burnam	78	10063	0.0794	-1.027210903	-0.964600369
Burnam	79	10063	0.052	-1.119457151	-0.964600369
Burnam	80	10063	0.0429	-1.172981167	-0.964600369
Burnam	81	10063	0.0565	-1.027983531	-0.964600369
Button	81	102062	0.1202	0.792329532	0.792329532
Callegari	77	49685	0.0867	0.847072959	0.814380805
Callegari	78	49685	0.0749	0.743781328	0.814380805
Callegari	79	49685	0.0507	0.756726411	0.814380805
Callegari	80	49685	0.0625	0.877102353	0.814380805
Callegari	81	49685	0.1062	0.847220975	0.814380805
Castro	78	49227	0.0768	-0.934541522	-0.948360926
Castro	79	49227	0.0605	-0.976305738	-0.948360926
Castro	80	49227	0.0435	-0.975894796	-0.948360926
Castro	81	49227	0.0605	-0.906701648	-0.948360926
Chavez	75	10060	0.1052	-0.794455724	-0.695175214
Chavez	76	10060	0.0879	-0.844282244	-0.695175214
Chavez	77	10060	0.1115	-0.556484058	-0.695175214
Chavez	78	10060	0.0542	-0.598856608	-0.695175214
Chavez	79	10060	0.1009	-0.654429358	-0.695175214
Chavez	80	10060	0.04	-0.571006913	-0.695175214
Chavez	81	10060	0.0609	-0.846711593	-0.695175214
Chisum	72	5477	0.0686	0.2442	0.52270053
Chisum	73	5477	0.1357	0.424565531	0.52270053
Chisum	74	5477	0.076	0.719544675	0.52270053
Chisum	75	5477	0.0632	0.465492139	0.52270053
Chisum	76	5477	0.0721	0.493533372	0.52270053
Chisum	77	5477	0.0843	0.292805731	0.52270053
Chisum	78	5477	0.1194	0.443292468	0.52270053
Chisum	79	5477	0.0535	0.636183493	0.52270053
Chisum	80	5477	0.0647	0.729377871	0.52270053
Chisum	81	5477	0.126	0.778010026	0.52270053
Christian	75	9959	0.0636	0.719225447	0.865719857
Christian	76	9959	0.0792	0.742855526	0.865719857
Christian	77	9959	0.0845	0.761302717	0.865719857
Christian	78	9959	0.0705	0.891686136	0.865719857
Christian	80	9959	0.0598	1.001831419	0.865719857
Christian	81	9959	0.0519	1.077417895	0.865719857
Cohen	80	59409	0.0389	-0.796626863	-0.738247253
Cohen	81	59409	0.0742	-0.679867642	-0.738247253
Coleman	73	5479	0.0888	-0.738856547	-0.85931414
Coleman	74	5479	0.0786	-0.577334041	-0.85931414
Coleman	75	5479	0.088	-0.512386716	-0.85931414
Coleman	76	5479	0.0875	-0.737677773	-0.85931414
Coleman	77	5479	0.148	-1.016858496	-0.85931414
Coleman	78	5479	0.075	-1.027210903	-0.85931414
Coleman	79	5479	0.0478	-1.129422033	-0.85931414
Coleman	80	5479	0.0472	-1.109292291	-0.85931414
Coleman	81	5479	0.0577	-0.884788463	-0.85931414
CookB	78	50125	0.093	0.645618921	0.6259302
CookB	79	50125	0.0521	0.577894295	0.6259302
CookB	80	50125	0.0662	0.58117181	0.6259302
CookB	81	50125	0.1416	0.699035776	0.6259302
Corte	73	5482	0.0439	1.169690568	0.856381664
Corte	74	5482	0.062	0.838535987	0.856381664
Corte	75	5482	0.0672	0.805520531	0.856381664
Corte	76	5482	0.0785	1.008553342	0.856381664
Corte	77	5482	0.0912	0.876565546	0.856381664
Corte	78	5482	0.0706	0.881920756	0.856381664
Corte	79	5482	0.0504	0.760798083	0.856381664
Corte	80	5482	0.0638	0.724200893	0.856381664
Corte	81	5482	0.1549	0.641649267	0.856381664
Crabb	73	5484	0.1077	0.873459236	0.929695204
Crabb	74	5484	0.0757	0.649078189	0.929695204
Crabb	75	5484	0.0673	1.044293382	0.929695204
Crabb	76	5484	0.0656	1.058114119	0.929695204
Crabb	77	5484	0.0797	0.897065311	0.929695204
Crabb	78	5484	0.0698	0.954550765	0.929695204
Crabb	79	5484	0.0479	0.851874955	0.929695204
Crabb	80	5484	0.0617	1.033976844	0.929695204
Crabb	81	5484	0.0651	1.004844031	0.929695204
Craddick	72	5485	0.0756	0.6782	0.748722513
Craddick	73	5485	0.1143	0.787018313	0.748722513
Craddick	74	5485	0.0778	0.585995915	0.748722513
Craddick	75	5485	0.0624	0.590228662	0.748722513
Craddick	76	5485	0.0763	0.826902795	0.748722513
Craddick	77	5485	0.0828	0.850747446	0.748722513
Craddick	78	5485	0.0	0.598846832	0.748722513
Craddick	79	5485	0.0	0.643176434	0.748722513
Craddick	80	5485	0.0	0.467746482	0.748722513
Craddick	81	5485	0.0886	0.921964461	0.748722513
Creighton	80	50127	0.0633	0.616688291	0.742585782
Creighton	81	50127	0.1018	0.868483273	0.742585782
CrownoverM	77	55845	0.0851	0.743993953	0.716192264
CrownoverM	78	55845	0.0734	0.769415449	0.716192264
CrownoverM	79	55845	0.0541	0.79755028	0.716192264
CrownoverM	80	55845	0.0635	0.765255537	0.716192264
CrownoverM	81	55845	0.1765	0.504746104	0.716192264
Darby	80	49842	0.065	0.662679124	0.708086209
Darby	81	49842	0.1314	0.753493294	0.708086209
DavisJ	76	25532	0.0742	0.848267068	0.611195087
DavisJ	77	25532	0.0841	0.657740225	0.611195087
DavisJ	78	25532	0.1135	0.494255541	0.611195087
DavisJ	79	25532	0.0525	0.627290104	0.611195087
DavisJ	80	25532	0.0668	0.448737474	0.611195087
DavisJ	81	25532	0.1649	0.590880107	0.611195087
DavisY	73	5491	0.0929	-0.769025285	-0.945840034
DavisY	74	5491	0.0757	-0.937894595	-0.945840034
DavisY	75	5491	0.115	-0.915625515	-0.945840034
DavisY	76	5491	0.0835	-0.854042572	-0.945840034
DavisY	77	5491	0.1357	-0.842610494	-0.945840034
DavisY	78	5491	0.0826	-1.027210903	-0.945840034
DavisY	79	5491	0.0586	-1.007164726	-0.945840034
DavisY	80	5491	0.0415	-1.190558815	-0.945840034
DavisY	81	5491	0.0569	-0.968427401	-0.945840034
Deshotel	76	25400	0.0836	-0.644520865	-0.577647227
Deshotel	77	25400	0.1157	-0.705494142	-0.577647227
Deshotel	78	25400	0.0506	-0.534364415	-0.577647227
Deshotel	79	25400	0.1022	-0.639321312	-0.577647227
Deshotel	80	25400	0.0439	-0.313843511	-0.577647227
Deshotel	81	25400	0.0863	-0.628339114	-0.577647227
Driver	73	5496	0.1354	0.56257146	0.582026784
Driver	74	5496	0.08	0.502343335	0.582026784
Driver	75	5496	0.0645	0.583293351	0.582026784
Driver	76	5496	0.0732	0.51403006	0.582026784
Driver	77	5496	0.0843	0.658513801	0.582026784
Driver	78	5496	0.0751	0.765549986	0.582026784
Driver	79	5496	0.0538	0.627718701	0.582026784
Driver	80	5496	0.0658	0.588034316	0.582026784
Driver	81	5496	0.1887	0.436186041	0.582026784
Dukes	74	5448	0.069	-1.090536819	-0.83920813
Dukes	75	5448	0.1117	-0.937224055	-0.83920813
Dukes	76	5448	0.0534	-1.018016081	-0.83920813
Dukes	77	5448	0.132	-0.848605708	-0.83920813
Dukes	78	5448	0.058	-0.728959943	-0.83920813
Dukes	79	5448	0.0969	-0.709825526	-0.83920813
Dukes	80	5448	0.0389	-0.581842449	-0.83920813
Dukes	81	5448	0.0599	-0.79865446	-0.83920813
Dunnam	75	10055	0.0838	-0.533291725	-0.74391088
Dunnam	76	10055	0.0794	-0.502020078	-0.74391088
Dunnam	77	10055	0.1154	-0.625525719	-0.74391088
Dunnam	78	10055	0.0685	-0.851637521	-0.74391088
Dunnam	79	10055	0.0628	-0.96741235	-0.74391088
